Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.42,0.1,0.28,0.2
1,0.5,0.14,0.3,0.06
2,0.78,0.04,0.16,0.02
3,0.62,0.08,0.28,0.02
4,0.48,0.2,0.22,0.1
5,0.46,0.06,0.44,0.04
6,0.3,0.26,0.38,0.06
7,0.36,0.1,0.5,0.04
8,0.22,0.38,0.36,0.04
9,0.3,0.22,0.36,0.12
10,0.1,0.14,0.66,0.1
11,0.34,0.12,0.48,0.06
12,0.62,0.0,0.38,0.0
13,0.34,0.04,0.58,0.04
14,1.0,0.0,0.0,0.0
15,0.48,0.08,0.42,0.02
16,0.68,0.0,0.32,0.0
17,0.32,0.16,0.42,0.1
18,0.52,0.0,0.48,0.0
19,0.34,0.26,0.4,0.0
20,0.34,0.02,0.64,0.0
21,0.34,0.2,0.42,0.04
22,0.32,0.56,0.12,0.0
23,0.4,0.12,0.38,0.1
24,0.52,0.46,0.02,0.0
25,0.36,0.18,0.4,0.06
26,1.0,0.0,0.0,0.0
27,0.36,0.1,0.46,0.08
28,1.0,0.0,0.0,0.0
29,0.34,0.1,0.46,0.1
30,0.48,0.02,0.48,0.02
31,0.44,0.22,0.3,0.04
32,0.0,0.0,1.0,0.0
33,0.4,0.16,0.38,0.06
34,0.02,0.0,0.94,0.04
35,0.38,0.14,0.44,0.04
36,0.38,0.02,0.24,0.36
37,0.44,0.1,0.44,0.02
38,0.22,0.0,0.78,0.0
39,0.38,0.18,0.38,0.06
40,0.96,0.04,0.0,0.0
41,0.52,0.12,0.34,0.02
42,0.34,0.36,0.3,0.0
43,0.36,0.14,0.46,0.04
44,0.36,0.14,0.4,0.1
45,0.28,0.18,0.5,0.04
46,0.86,0.0,0.12,0.02
47,0.42,0.18,0.38,0.02
48,0.2,0.52,0.26,0.02
49,0.28,0.22,0.4,0.1
50,0.0,0.0,1.0,0.0
51,0.38,0.18,0.38,0.06
52,0.0,0.0,1.0,0.0
53,0.32,0.08,0.58,0.02
54,0.3,0.14,0.56,0.0
55,0.4,0.12,0.38,0.1
56,0.0,0.02,0.98,0.0
57,0.58,0.04,0.34,0.04
58,0.0,0.0,1.0,0.0
59,0.4,0.18,0.4,0.02
60,0.42,0.02,0.56,0.0
61,0.36,0.1,0.48,0.06
62,0.2,0.12,0.54,0.14
63,0.32,0.14,0.54,0.0
64,0.18,0.32,0.46,0.04
65,0.46,0.1,0.38,0.06
66,0.36,0.1,0.42,0.12
67,0.34,0.2,0.36,0.1
68,0.86,0.08,0.06,0.0
69,0.54,0.12,0.3,0.04
70,0.24,0.62,0.14,0.0
71,0.44,0.04,0.46,0.06
72,0.66,0.06,0.18,0.1
73,0.42,0.16,0.4,0.02
74,0.2,0.14,0.62,0.04
75,0.44,0.12,0.38,0.06
76,0.12,0.54,0.3,0.04
77,0.32,0.14,0.5,0.04
78,0.1,0.0,0.8,0.1
79,0.46,0.06,0.4,0.08
80,0.22,0.24,0.42,0.12
81,0.24,0.24,0.46,0.06
82,0.2,0.2,0.44,0.16
83,0.44,0.1,0.38,0.08
84,0.18,0.02,0.8,0.0
85,0.42,0.08,0.46,0.04
86,0.7,0.02,0.28,0.0
87,0.64,0.06,0.24,0.06
88,0.68,0.06,0.16,0.1
89,0.56,0.1,0.3,0.04
90,0.9,0.06,0.0,0.04
91,0.34,0.1,0.5,0.06
92,0.44,0.14,0.26,0.16
93,0.46,0.14,0.32,0.08
94,0.72,0.14,0.08,0.06
95,0.4,0.1,0.46,0.04
96,0.34,0.14,0.48,0.04
97,0.24,0.16,0.52,0.08
98,0.36,0.06,0.54,0.04
99,0.28,0.2,0.44,0.08
100,0.36,0.08,0.48,0.08
101,0.44,0.1,0.4,0.06
102,0.2,0.22,0.58,0.0
103,0.36,0.12,0.42,0.1
104,0.46,0.02,0.5,0.02
105,0.44,0.04,0.42,0.1
106,0.06,0.12,0.82,0.0
107,0.38,0.18,0.44,0.0
108,0.52,0.06,0.32,0.1
109,0.5,0.06,0.38,0.06
110,0.3,0.08,0.62,0.0
111,0.34,0.16,0.42,0.08
112,0.7,0.1,0.18,0.02
113,0.38,0.12,0.48,0.02
114,0.44,0.32,0.18,0.06
115,0.36,0.04,0.54,0.06
116,0.04,0.0,0.92,0.04
117,0.42,0.08,0.4,0.1
118,0.0,0.0,1.0,0.0
119,0.38,0.16,0.42,0.04
